1 pix=1.625 um,Pixel ,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
5x objective,1.33,21.5,20,20.25,20,18,16.5,15.5,14.75,14.5,14,13,13,12,11.5,10,9.5,9.5,10,9,8.5,8,8,7.25,7.5,8
,2.67,21.2,20.2,20.6,20.6,19,17.4,14.8,14.6,14.4,14,13.2,12.6,12.2,12,10.6,9.4,9.4,10,9,8.2,8,8,7.2,7,8
,4,21.3,20.5,20.6,21.4,19.3,17.9,15.9,14.4,14.4,13.8,13.3,12.6,12,12,11,10.1,9.6,9.8,9,8.2,8,7.6,7.2,7,7.2
,5.33,21.82,21.09,20.45,21,19.18,17.82,16.27,15,14.73,13.73,13.27,12.36,12,11.91,11,10.45,10,10.09,9,8.36,8.18,7.73,7.45,7,6.91
,6.67,22.31,21.54,20.23,20.62,18.77,17.62,16.15,15.38,14.54,13.38,13.23,12.23,12,11.69,11.15,10.69,10.15,10.46,9,8.46,8.38,8,7.62,7,7.69
,8,23.44,21.44,20.06,20.67,18.94,18.11,16,15.39,15,13.67,13.17,12.17,12,11.72,11.22,10.78,10.22,10.39,9.5,8.78,8.44,8,7.89,7.33,8
,9.33,23.88,21.53,20.06,20.59,19.18,18.35,16.12,15.18,15.24,13.88,13.47,12.06,12.29,11.94,11.06,10.82,10.59,10.47,9.53,8.71,8.47,8,7.71,7.59,8
,10.67,25.05,22.16,20,20.05,19,18.21,16.05,15.16,15.05,14.16,13.63,12.32,12.16,11.74,11.21,10.74,10.84,10.58,9.63,8.68,8.53,8.05,7.63,7.63,7.89
,12,26.58,23.38,20.23,20.19,18.88,17.81,16.15,15.31,14.92,14.04,13.62,12.5,12,11.62,11.27,10.65,10.46,10.58,9.69,8.58,8.38,8.04,7.65,7.38,8
,13.33,26.96,23.52,21.19,20.19,18.52,17.67,16.15,15.52,15.15,14.19,13.44,12.52,12.19,11.7,11.22,10.63,10.59,10.33,9.74,8.74,8.44,8.04,7.78,7.04,7.78
,14.67,27.3,23.7,22.04,19.52,18.44,17.56,15.93,15.44,15.19,13.96,13.22,12.67,12.44,11.78,11.07,10.44,10.85,10.44,9.59,8.81,8.48,8.11,8,7.48,7.81
,16,25.71,23.68,22.41,19.44,18.59,17.79,15.68,15.03,15.21,14.21,13.47,12.59,12.71,11.97,11,10.56,10.44,10.44,9.68,8.94,8.65,8.06,7.91,7.47,7.79
,17.33,25.61,22.39,22.48,19.58,18.68,18.16,15.9,14.94,14.71,14.13,13.35,12.42,12.39,11.74,11.13,10.61,10.52,10.35,9.84,8.97,8.61,8.1,7.61,7.45,7.55
,18.67,25.39,21.88,22.36,19.91,18.91,18.18,16.18,15.21,14.73,13.91,13.39,12.33,12.39,11.76,11.15,10.7,10.79,10.45,9.94,8.91,8.67,8.09,7.55,7.67,7.39
,20,25.05,22.69,22.33,21.14,19.19,18.17,16.45,15.31,14.43,13.74,13.45,12.52,12.33,11.86,11.12,10.6,10.81,10.67,9.95,8.9,8.71,8.07,7.79,7.62,7.48
,21.33,25.29,23.24,21.95,21.32,19.22,18.2,16.49,15.32,14.59,13.71,13.49,12.66,12.29,11.85,11,10.39,10.29,10.49,9.98,8.88,8.68,8.02,7.56,7.51,7.51
,22.67,25.76,23.51,21.61,21.39,19.29,18.37,16.73,15.39,14.71,14,13.54,12.68,12.39,11.83,11.05,10.46,10.29,10.37,10.05,8.78,8.49,7.9,7.54,7.44,7.8
,24,26.1,23.58,21.87,22.02,19.6,18.31,16.9,15.69,14.83,14.06,13.73,12.81,12.56,11.94,11.04,10.48,10.35,10.52,10.13,9.04,8.67,8,7.56,7.31,7.69
,25.33,26.91,23.53,21.96,21.98,19.71,18.58,16.84,15.4,14.73,13.8,13.67,12.71,12.58,11.87,11.07,10.64,10.16,10.58,9.93,8.87,8.53,7.96,7.33,7.36,7.56
,26.67,27.36,23.79,22.32,21.98,20,19,16.94,15.64,14.89,13.96,13.6,12.66,12.68,11.96,11.17,10.68,10.38,10.51,10.02,8.72,8.38,7.98,7.4,7.09,7.53
,28,27.02,23.91,22.67,22.19,20.33,19.34,17.03,15.81,14.78,13.95,13.71,12.83,12.64,11.97,11.29,10.74,10.59,10.62,9.97,8.74,8.52,7.91,7.29,7.14,7.41
,29.33,26.95,23.85,22.64,21.93,20.05,19.15,16.85,16.18,14.96,13.87,13.73,12.73,12.55,11.75,11.33,10.76,10.69,10.75,9.85,8.8,8.36,7.91,7.2,7,7.35
,30.67,26.84,23.82,23.07,22,20.09,19.51,16.78,16.05,15.07,14.07,13.69,12.73,12.51,11.89,11.24,10.75,10.69,10.55,9.8,8.78,8.2,7.8,7.2,7,7.13
,32,26.44,23.61,23.02,21.91,20.29,19.62,17.23,16.02,15.29,14.17,13.71,12.8,12.61,11.97,11.33,10.83,10.74,10.42,9.73,8.58,8.18,7.59,7.12,6.98,7.12
,33.33,26.37,23.32,22.29,21.24,20.15,19.24,17.25,16.02,15.37,14.36,13.95,12.75,12.51,11.85,11.42,10.73,10.41,10.29,9.47,8.44,7.98,7.53,7.1,6.83,6.58
,34.67,26.73,23.44,22.06,21,19.83,19,17.31,16.23,15.36,14.31,13.98,12.81,12.55,11.77,11.31,10.77,10.67,10.19,9.34,8.42,7.95,7.39,7.02,6.78,6.22
,36,26.86,23.49,22.01,21.04,19.58,18.68,17.52,16.24,15.49,14.24,14,12.8,12.54,11.92,11.2,10.79,10.56,10.23,9.49,8.34,7.92,7.48,6.99,6.69,6.28
,37.33,26.81,23.84,22.4,21.55,19.27,18.52,16.97,16.13,15.39,14.35,14.12,12.97,12.52,11.97,11.13,10.61,10.24,10.15,9.47,8.21,7.92,7.64,6.95,6.6,6.53
,38.67,27.19,24.16,22.57,21.82,19.43,18.6,17,16.15,15.43,14.48,14.07,12.96,12.55,11.96,11.16,10.55,10.1,10.03,9.34,8.13,7.99,7.57,6.99,6.67,6.54
,40,27.96,24.38,22.73,22.12,19.6,18.59,16.79,16.2,15.77,14.63,14,13.01,12.52,11.85,11.1,10.45,10.12,10.04,9.34,8.17,7.94,7.46,6.96,6.72,6.41
,41.33,29.04,24.57,23.01,22.53,20.17,18.52,16.64,16.07,15.55,14.77,14.15,13.13,12.64,11.99,11.12,10.36,10.11,9.96,9.31,8.19,7.87,7.32,7,6.65,6.16
,42.67,29.65,25.01,23.3,22.65,20.38,18.77,16.87,16.06,15.49,14.71,14.26,13.09,12.91,12.08,11.26,10.45,9.92,9.9,9.25,8.17,7.81,7.42,6.97,6.7,6.18
,44,29.58,25.4,24.1,23.01,20.72,19.11,17.02,16.1,15.5,14.61,14.29,13.03,12.96,12.11,11.37,10.44,9.91,9.81,9.18,8.07,7.74,7.29,6.88,6.54,6.13
,45.33,29.68,26.01,24.42,23.33,20.68,19.51,17.26,15.95,15.46,14.44,14.29,13.24,12.93,12.14,11.46,10.53,10.07,9.89,9.14,8,7.78,7.26,6.79,6.4,6.19
,46.67,29.98,26.25,24.9,23.95,20.96,19.59,17.54,16.05,15.68,14.48,14.19,13.38,12.86,12.11,11.49,10.62,10.19,10,9.25,8.16,7.75,7.31,6.91,6.62,6.37
,48,30.35,26.23,25.15,24.63,21.31,19.84,17.7,16.22,16,14.76,14.13,13.46,12.85,12.22,11.52,10.67,10.31,10.15,9.33,8.22,7.78,7.4,6.95,6.59,6.39
,49.33,30.83,26.81,25.47,24.48,21.4,19.58,17.66,16.22,15.87,14.69,14.28,13.52,12.98,12.23,11.39,10.55,10.22,10.1,9.2,8.24,7.77,7.38,7,6.6,6.41
,50.67,30.97,27.57,25.75,24.97,21.66,19.8,17.7,16.45,15.74,14.67,14.41,13.42,12.98,12.18,11.35,10.48,10.23,9.97,9.16,8.19,7.68,7.42,6.98,6.54,6.33
,52,31.39,28.04,25.9,25.6,22.25,20.1,18.09,16.69,16.03,14.84,14.44,13.42,12.98,12.17,11.53,10.51,10.26,9.92,9.16,8.27,7.6,7.38,6.92,6.6,6.33
,53.33,31.04,28.33,26.22,25.63,22.25,20.44,18.02,16.68,15.9,14.78,14.37,13.47,13.07,12.35,11.56,10.59,10.33,9.89,9.13,8.19,7.72,7.36,6.95,6.52,6.28
,54.67,30.76,28.21,26.52,25.34,22.24,20.67,18.06,16.65,16.01,14.84,14.39,13.35,12.92,12.52,11.45,10.66,10.4,9.89,9.15,8.13,7.63,7.34,7.01,6.59,6.28
,56,30.65,27.91,27.14,25.09,22.39,20.77,18.2,16.76,16.18,15.01,14.45,13.49,13.03,12.47,11.42,10.56,10.45,10,9.13,8.12,7.72,7.37,6.97,6.59,6.34
,57.33,30.24,27.5,27.41,25.09,22.17,20.76,18.18,16.78,15.93,15.03,14.41,13.42,13.18,12.46,11.25,10.5,10.38,9.97,9.11,8.08,7.58,7.32,6.98,6.55,6.3
,58.67,30.49,27.44,27.43,25.32,22.35,20.62,18.12,16.78,15.84,14.9,14.4,13.43,13.2,12.47,11.38,10.61,10.26,9.92,9.13,8.05,7.49,7.21,6.94,6.53,6.23
,60,31.1,27.78,28.07,25.76,22.71,20.61,18.3,16.94,15.94,14.92,14.25,13.45,13.27,12.48,11.45,10.66,10.23,10.07,9.17,8.05,7.68,7.32,6.85,6.65,6.33
,61.33,31.26,28.05,28.38,26.02,23.16,20.78,18.18,16.81,15.92,14.79,14.12,13.27,13.04,12.36,11.37,10.75,10.14,10.01,9.09,7.98,7.63,7.25,6.94,6.63,6.29
,62.67,31.17,27.98,28.32,25.98,23.42,21.09,18.29,16.83,15.89,14.68,14.07,13.2,12.95,12.25,11.39,10.66,10.09,10.01,9.14,8.06,7.67,7.31,6.96,6.63,6.35
,64,31.26,28.01,28.14,26.18,23.56,21.53,18.43,17.05,16.05,14.84,14.09,13.23,12.95,12.27,11.48,10.59,9.98,9.95,9.1,8.02,7.6,7.18,6.99,6.65,6.38
,65.33,31.28,27.67,27.42,26.43,23.36,21.57,18.45,17.25,16.08,14.68,13.99,13.11,12.82,12.18,11.36,10.46,9.92,9.8,8.96,7.97,7.6,7.1,6.94,6.66,6.52
,66.67,31.79,27.86,27.51,26.65,23.29,21.71,18.58,17.37,16.13,14.58,13.86,13.03,12.75,12.13,11.34,10.43,9.88,9.74,8.94,7.91,7.55,7.14,6.89,6.66,6.27
,68,32.91,28.03,27.9,26.89,23.54,21.9,19.01,17.48,16.32,14.7,13.95,13,12.68,11.94,11.35,10.43,9.67,9.71,9,7.91,7.59,7.09,6.91,6.62,6.31
,69.33,33.21,28.15,28.11,26.86,23.66,21.41,19.05,17.53,16.22,14.74,14.04,12.94,12.66,11.89,11.21,10.31,9.63,9.59,8.97,7.9,7.51,7.08,6.94,6.56,6.31
,70.67,33.73,28.46,28.4,26.82,24.1,21.42,19.19,17.6,16.25,14.85,14.13,12.88,12.64,11.93,11.2,10.29,9.67,9.46,8.9,7.92,7.49,7.06,6.95,6.71,6.45
,72,33.74,28.89,28.6,26.91,24.18,21.51,19.43,17.82,16.42,14.86,14.26,12.94,12.65,11.98,11.21,10.32,9.6,9.45,8.81,7.96,7.55,7.11,6.96,6.75,6.34
